Agency Name,Longitude,Latitude
Open Door To Heaven Outreach Ministry Inc.,-73.880569,40.672646
Church of Praise and Worship God in Christ,-73.922487,40.671414
Kerith SDA Church,-73.730926,40.69225
Sisters With Purpose,-73.877541,40.647467
United Church of Praise Healthy Heart,-74.076112,40.629032
Full Effect Gospel Ministries,-73.877835,40.668337
United Church of Faith,-73.909736,40.641488
"Unique People Services-AIDS Programs, Inc.",-73.878267,40.881226
The Legacy Center Community Development Corp.,-73.892608,40.701766
Blessed Assurance Church of God,-73.909298,40.678335
Forest Hills Senior Center,-73.85015,40.736161
NAZARETH HOUSING INC,-73.983941,40.723765
Feed My Sheep Community Pantry,-73.878538,40.826416
SOUTH ASIAN COUNCIL FOR SOCIAL SERVICES,-73.818092,40.753908
University Settlement Senior Center,-73.989435,40.722088
ACS - The Administration for Children's Services,-73.897137,40.862982
Lillian Wald Food Pantry,-73.978181,40.720237
Pomonok Food Pantry,-73.81409,40.735162
Hebrew Educational Society,-73.890778,40.63239
Unitarian Church of All Souls,-73.958364,40.775446
Trinity's Services and Food for the Homeless Inc.,-73.980039,40.726041
Trinity's Services and Food for the Homeless Inc.,-73.980039,40.726041
Safe Horizon Streetwork Project,-73.948396,40.809322
Shorefront Jewish Comm. Council,-73.967227,40.576207
Shorefront Jewish Community Council,-73.96225,40.579156
Garden of Prayer,-73.898274,40.84639
Way Out Church Ministries Inc.,-73.914742,40.813949
Soundview Presbyterian Church,-73.865236,40.820834
St. Augustine Food Pantry,-73.904441,40.829212
BRC Project Rescue,-73.99311,40.744817
Pentecost Care Community Outreach,-73.866748,40.882268
Davidson Community Center,-73.908555,40.853593
Thessalonia Baptist Church,-73.899041,40.822123
The Salvation Army Bushwick Corps,-73.917314,40.689255
The Salvation Army Bushwick,-73.917314,40.689255
Heavenly Vision Christian Center,-73.892232,40.871588
Jewish Community Council of Pelham Parkway,-73.865849,40.855335
St. Augustine American Catholic Church,-73.934101,40.66826
New Covenant Community Development Corp.,-73.903233,40.828923
Project FIND Woodstock S.C.,-73.984959,40.756189
Los Redimidos Por La Sangre De Jesus,-73.889589,40.852022
Spanish Soundview SDA,-73.861228,40.8149
United Grand Chapter of Eastern Star,-73.95189,40.693689
Joshua and Caleb Ministries Inc,-73.903449,40.84286
Every Day is a Miracle - Harvest Hand Food Pantry,-73.846352,40.842828
Every Day is a Miracle co The Almond Tree Church,-73.900259,40.86129
Chance for Children,-73.958541,40.665826
Church of the Epiphany,-73.952834,40.768415
Upper Manhattan Mental H.C. Inc.,-73.947162,40.825529
Jewish Council of Washington Heights,-73.934592,40.85406
Greater Central Baptist Church,-73.939341,40.810731
Church of the Incarnation,-73.757065,40.719149
Lighthouse of Hope Outreach and Resource Center,-73.925112,40.66421
Faces NY Inc.,-73.951284,40.801922
St. Joseph of the Holy Family,-73.954214,40.811784
Community Impact Food Pantry,-73.965838,40.807014
Jewish Community Council of the Rockaway Peninsula,-73.751657,40.605279
"God's Deliverance Temple, Inc.",-73.922233,40.674175
Sanctified Church of God Inc.,-73.948093,40.662348
Church of God Feeding Hungry,-73.961116,40.672403
Our Lady of Fatima Church,-73.888816,40.762604
Mt. Olivet Gospel Church Food Pantry,-73.871138,40.756688
Beth Hark Christian Counseling Center,-73.943367,40.802312
Beth Hark Christian Counseling Center,-73.943367,40.802312
